Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-01-10,Comparison_DDC_EEGNet_BCICIV2AToMengExp3_1,0.82913(0.05255),0.79866(0.04836),0.67170(0.01305),0.66475(0.01562)
2024-01-10,Comparison_DDC_ShallowConvNet_BCICIV2AToMengExp3_1,0.78616(0.06324),0.76107(0.03931),0.65819(0.00917),0.63853(0.02295)
2024-01-10,Comparison_DDC_DeepConvNet_BCICIV2AToMengExp3_1,0.71275(0.07894),0.67880(0.06499),0.64866(0.02135),0.63913(0.02949)
2024-01-10,Comparison_DDC_InceptionEEG_BCICIV2AToMengExp3_1,0.83223(0.04880),0.79626(0.04496),0.67686(0.02132),0.67488(0.01273)
2024-01-10,Comparison_DDC_EEGNet_BCICIV2AToMengExp12_1,0.83570(0.01642),0.79819(0.07259),0.73246(0.01746),0.70977(0.02539)
2024-01-10,Comparison_DDC_ShallowConvNet_BCICIV2AToMengExp12_1,0.77922(0.05904),0.76414(0.06393),0.69736(0.02215),0.67574(0.04486)
2024-01-10,Comparison_DDC_DeepConvNet_BCICIV2AToMengExp12_1,0.70196(0.06793),0.66790(0.04720),0.73100(0.01092),0.72722(0.01591)
2024-01-10,Comparison_DDC_InceptionEEG_BCICIV2AToMengExp12_1,0.83223(0.03181),0.79006(0.05440),0.72616(0.02060),0.71326(0.02110)
2024-01-10,Comparison_DDC_EEGNet_BCICIV2AToPhysioNetMI_1,0.84381(0.03738),0.78741(0.04448),0.68092(0.03132),0.67087(0.02199)
2024-01-10,Comparison_DDC_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.77570(0.08490),0.68800(0.08069),0.65176(0.03409),0.64947(0.04173)
2024-01-10,Comparison_DDC_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.63286(0.09454),0.62690(0.12246),0.63160(0.04313),0.62040(0.04473)
2024-01-11,Comparison_DDC_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.82063(0.05217),0.79819(0.06962),0.69632(0.02293),0.68603(0.01363)
2024-01-11,Comparison_DDC_EEGNet_MengExp3ToBCICIV2A_1,0.81629(0.01590),0.80497(0.01580),0.60533(0.01920),0.56746(0.04508)
2024-01-11,Comparison_DDC_ShallowConvNet_MengExp3ToBCICIV2A_1,0.82761(0.00907),0.81946(0.01533),0.61852(0.03971),0.58411(0.04143)
2024-01-11,Comparison_DDC_DeepConvNet_MengExp3ToBCICIV2A_1,0.78947(0.00893),0.77915(0.01089),0.59724(0.05328),0.57944(0.03843)
2024-01-11,Comparison_DDC_InceptionEEG_MengExp3ToBCICIV2A_1,0.82860(0.01639),0.81470(0.01972),0.61385(0.05374),0.59492(0.06021)
2024-01-11,Comparison_DDC_EEGNet_MengExp3ToMengExp12_1,0.83396(0.01147),0.82483(0.00962),0.77578(0.02389),0.76541(0.02353)
2024-01-11,Comparison_DDC_ShallowConvNet_MengExp3ToMengExp12_1,0.81390(0.01056),0.80020(0.01285),0.74050(0.00866),0.73168(0.01098)
2024-01-11,Comparison_DDC_DeepConvNet_MengExp3ToMengExp12_1,0.79265(0.01115),0.78431(0.00773),0.74651(0.01284),0.73730(0.01944)
2024-01-11,Comparison_DDC_InceptionEEG_MengExp3ToMengExp12_1,0.82880(0.00858),0.81450(0.02069),0.77830(0.01867),0.77103(0.01976)
2024-01-11,Comparison_DDC_EEGNet_MengExp3ToPhysioNetMI_1,0.83337(0.00864),0.81569(0.00791),0.74697(0.01656),0.73941(0.01436)
2024-01-11,Comparison_DDC_ShallowConvNet_MengExp3ToPhysioNetMI_1,0.80576(0.00642),0.79901(0.00758),0.74930(0.02251),0.74022(0.02000)
2024-01-11,Comparison_DDC_DeepConvNet_MengExp3ToPhysioNetMI_1,0.79206(0.00837),0.77915(0.00734),0.76848(0.01605),0.75878(0.01533)
2024-01-11,Comparison_DDC_InceptionEEG_MengExp3ToPhysioNetMI_1,0.83555(0.00820),0.81668(0.01965),0.76382(0.02398),0.74067(0.01645)
2024-01-11,Comparison_DDC_EEGNet_MengExp12ToBCICIV2A_1,0.85818(0.01449),0.85091(0.01483),0.63000(0.05773),0.61844(0.04316)
2024-01-11,Comparison_DDC_ShallowConvNet_MengExp12ToBCICIV2A_1,0.82057(0.01481),0.81553(0.00878),0.69454(0.06465),0.62886(0.04936)
2024-01-11,Comparison_DDC_DeepConvNet_MengExp12ToBCICIV2A_1,0.79711(0.00536),0.78965(0.00861),0.61070(0.04891),0.59834(0.05891)
2024-01-11,Comparison_DDC_InceptionEEG_MengExp12ToBCICIV2A_1,0.86836(0.01668),0.86119(0.00940),0.61303(0.05216),0.61033(0.05001)
2024-01-11,Comparison_DDC_EEGNet_MengExp12ToMengExp3_1,0.86051(0.01085),0.85353(0.01171),0.72493(0.01905),0.72155(0.01835)
2024-01-11,Comparison_DDC_ShallowConvNet_MengExp12ToMengExp3_1,0.82881(0.00918),0.82232(0.00764),0.69652(0.02205),0.68282(0.02934)
2024-01-11,Comparison_DDC_DeepConvNet_MengExp12ToMengExp3_1,0.80642(0.01476),0.79934(0.01053),0.67865(0.01896),0.67825(0.03163)
2024-01-11,Comparison_DDC_InceptionEEG_MengExp12ToMengExp3_1,0.87534(0.01409),0.86409(0.01168),0.73863(0.01933),0.72810(0.01632)
2024-01-11,Comparison_DDC_EEGNet_MengExp12ToPhysioNetMI_1,0.85896(0.01339),0.85886(0.01491),0.76151(0.01418),0.76323(0.01146)
2024-01-11,Comparison_DDC_ShallowConvNet_MengExp12ToPhysioNetMI_1,0.81950(0.01320),0.82163(0.01512),0.73325(0.01715),0.71322(0.02603)
2024-01-11,Comparison_DDC_DeepConvNet_MengExp12ToPhysioNetMI_1,0.81291(0.01468),0.80564(0.01502),0.76868(0.01091),0.75712(0.01597)
2024-01-11,Comparison_DDC_InceptionEEG_MengExp12ToPhysioNetMI_1,0.87340(0.01338),0.87010(0.01207),0.75707(0.02163),0.75752(0.01955)
2024-01-11,Comparison_DDC_EEGNet_PhysioNetMIToBCICIV2A_1,0.83744(0.01299),0.82120(0.01607),0.67490(0.05827),0.63507(0.05785)
2024-01-11,Comparison_DDC_ShallowConvNet_PhysioNetMIToBCICIV2A_1,0.82818(0.01069),0.81105(0.02126),0.75524(0.05852),0.67639(0.06517)
2024-01-11,Comparison_DDC_DeepConvNet_PhysioNetMIToBCICIV2A_1,0.81255(0.01466),0.79799(0.01330),0.65170(0.06799),0.62849(0.07727)
2024-01-11,Comparison_DDC_InceptionEEG_PhysioNetMIToBCICIV2A_1,0.83216(0.01775),0.81759(0.01681),0.68454(0.06626),0.65480(0.07419)
2024-01-12,Comparison_DDC_EEGNet_PhysioNetMIToMengExp3_1,0.83280(0.01610),0.81973(0.01201),0.74916(0.02064),0.73923(0.02757)
2024-01-12,Comparison_DDC_ShallowConvNet_PhysioNetMIToMengExp3_1,0.82730(0.01002),0.81170(0.01327),0.76604(0.01847),0.75452(0.01848)
2024-01-12,Comparison_DDC_DeepConvNet_PhysioNetMIToMengExp3_1,0.82058(0.01618),0.80878(0.01044),0.76862(0.01715),0.75968(0.02140)
2024-01-12,Comparison_DDC_InceptionEEG_PhysioNetMIToMengExp3_1,0.83280(0.01756),0.81824(0.01238),0.76107(0.01835),0.74856(0.01782)
2024-01-12,Comparison_DDC_EEGNet_PhysioNetMIToMengExp12_1,0.83408(0.01657),0.82459(0.01003),0.76057(0.01205),0.75698(0.00961)
2024-01-12,Comparison_DDC_ShallowConvNet_PhysioNetMIToMengExp12_1,0.83237(0.01390),0.81357(0.02041),0.77394(0.01135),0.75911(0.02051)
2024-01-12,Comparison_DDC_DeepConvNet_PhysioNetMIToMengExp12_1,0.82141(0.01447),0.80708(0.01128),0.78257(0.00909),0.77210(0.00719)
2024-01-12,Comparison_DDC_InceptionEEG_PhysioNetMIToMengExp12_1,0.83575(0.01434),0.82162(0.01347),0.76638(0.00792),0.75601(0.01545)
